round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.8707648515701294,0.3679,0.36668136566877363,0.9817777777777777,1.0324277485102775,0.6540857456943936,0.37984111728009506,0.8770949720670391
2002,1.7603411495685577,0.4022,0.6467730343341828,0.958,0.7243187793855637,0.7617615467239527,,
2003,1.6647502779960632,0.4424,0.8261750996112823,0.9186666666666666,0.7133208968101187,0.7678479712378018,,
2004,1.6124723196029662,0.4963,1.0477515041828156,0.8758888888888889,0.9625025274962905,0.6741258741258741,,
2005,1.5642269730567933,0.524,1.155696976184845,0.8306666666666667,0.7411197368129088,0.7561168113654302,,
2006,1.5504374861717225,0.5403,1.2986186921596528,0.7736666666666666,0.9054396399642817,0.6968104385646974,,
2007,1.5275033295154572,0.5378,1.3648375689983367,0.7141111111111111,0.8841004019407277,0.7055022518112395,,
2008,1.4864119052886964,0.5417,1.4372508645057678,0.657,0.6727360710003573,0.7811084753073108,,
2009,1.4467868149280547,0.5665,1.4857014060020446,0.636,0.5530081552007924,0.8231055900621118,,
2010,1.4168507993221282,0.6012,1.505413681268692,0.6237777777777778,0.6257513440623896,0.7855052892189962,,
2011,1.3904249668121338,0.6182,1.5187079966068269,0.616,0.6836875137673379,0.775557087066391,,
2012,1.3614943146705627,0.6341,1.5248897910118102,0.6067777777777777,0.6721371317984266,0.7811572700296736,,
2013,1.3458398163318634,0.6439,1.4928405106067657,0.6158888888888889,0.6647397311032172,0.7786205261910405,,
2014,1.325313103199005,0.6518,1.4761562526226044,0.6192222222222222,0.7232725577242185,0.7611159546643418,,
2015,1.3013800501823425,0.6576,1.4860926747322083,0.6124444444444445,0.7535536164708901,0.7494140625,,
2016,1.282125574350357,0.6589,1.489801424741745,0.6023333333333334,0.6390040263369187,0.7856068204613842,,
2017,1.2733812034130096,0.6624,1.5007994890213012,0.6001111111111112,0.7590413568563943,0.7523794160348444,,
2018,1.2606020987033844,0.6671,1.5691417276859283,0.5613333333333334,0.6616303459428249,0.7788076680008427,,
2019,1.2380954205989838,0.6716,1.5655641734600068,0.5558888888888889,0.565103491771375,0.8199663488502524,,
2020,1.222640460729599,0.6759,1.4999485909938812,0.5842222222222222,0.7331033392942075,0.7559863169897377,,
2021,1.2037568807601928,0.6774,1.477376538515091,0.593,0.792356978390037,0.730719794344473,,
2022,1.197563636302948,0.6818,1.4710308134555816,0.5948888888888889,0.7166220401088323,0.7518037518037518,,
2023,1.201579087972641,0.6771,1.4216456055641173,0.61,0.803187978793965,0.7297209074587889,,
2024,1.1937165081501007,0.6779,1.4027635395526885,0.6193333333333333,0.736214276568193,0.7527683134582623,,
2025,1.1789746940135957,0.6866,1.431374579668045,0.6022222222222222,0.568783257731343,0.8128253175098896,,
2026,1.1675474047660828,0.6879,1.5016551196575165,0.5692222222222222,0.8077811237635183,0.7269713886950454,,
2027,1.1664348125457764,0.6876,1.5226249396800995,0.5557777777777778,0.6978361437817457,0.7664201826881253,,
2028,1.1509443461894988,0.6889,1.511371487379074,0.5586666666666666,0.7803626551210326,0.7448197095774188,,
2029,1.1458618760108947,0.6892,1.5528687477111816,0.541,0.7497559515049174,0.7544448834452785,,
2030,1.1475823998451233,0.6802,1.5643819391727447,0.5342222222222223,0.7443021707657833,0.742685807741232,,
2031,1.1303690969944,0.6819,1.600641566514969,0.511,0.5908931041318435,0.8079385403329066,,
2032,1.1272648394107818,0.6795,1.6168547868728638,0.49322222222222223,0.7772971501910804,0.7305183037332367,,
2033,1.1167956233024596,0.6839,1.595370489358902,0.5012222222222222,0.6002107762086326,0.8069012797074955,,
2034,1.1093327820301055,0.683,1.585817003250122,0.5088888888888888,0.7711542453779419,0.7387862796833773,,
2035,1.1036377549171448,0.6884,1.6745105683803558,0.4647777777777778,0.6907486101181882,0.768118561359118,,
2036,1.1040723204612732,0.6875,1.6798770904541016,0.4692222222222222,0.718352922132328,0.7629615082482325,,
2037,1.0983762681484222,0.6911,1.6539779424667358,0.47755555555555557,0.7146459203669911,0.7656126482213439,,
2038,1.0988695681095124,0.6934,1.5790325164794923,0.5145555555555555,0.7134720660132177,0.7567182772735362,,
2039,1.0800555646419525,0.6967,1.567322415113449,0.5161111111111111,0.6681175609652916,0.7787765293383271,,
2040,1.074628508090973,0.6952,1.5650856971740723,0.5145555555555555,0.6835732834260481,0.7717300284709429,,
2041,1.0771685272455216,0.6942,1.5830609381198884,0.501,0.6775582850744588,0.7769687679632113,,
2042,1.0645791947841645,0.6924,1.580970674753189,0.5034444444444445,0.5624547572289563,0.8186735653809972,,
2043,1.0627777606248856,0.692,1.5678391456604004,0.5103333333333333,0.674389194628698,0.7714785651793525,,
2044,1.0506092071533204,0.6983,1.5609895169734955,0.5108888888888888,0.5952498013096982,0.7928618349025619,,
2045,1.0407150745391847,0.6984,1.5788648784160615,0.5047777777777778,0.6355823329905396,0.790118800678861,,
2046,1.0564796894788742,0.6943,1.543914270401001,0.5222222222222223,0.8014940771104984,0.7372435082622117,,
2047,1.0456908524036408,0.6946,1.5372511446475983,0.5202222222222223,0.8168810580816073,0.7207494518636636,,
2048,1.0386825501918793,0.6913,1.560138213634491,0.5084444444444445,0.7380988268827499,0.7620481927710844,,
2049,1.024346661567688,0.6968,1.578419989347458,0.5024444444444445,0.6701117043405692,0.7841009743135519,,
2050,1.0119415879249574,0.6991,1.5766629040241242,0.5055555555555555,0.5791450041481573,0.8146520146520146,,
2051,1.0136174857616425,0.698,1.5695229828357697,0.5097777777777778,0.6933295470972363,0.779256904430757,,
