round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2301,0.8084989190101624,0.7352,5.178047323226929,0.030222222222222223,0.6556202360659749,0.7952095808383234,,,,,,,0.3
2302,0.8072482705116272,0.7228,0.2051682397723198,0.9545555555555556,0.8682221725798042,0.7062513067112691,0.29986081660633357,0.9172535211267606,0.0,0.0,0.0,0.2222222222222222,
2303,0.8458695411682129,0.7122,0.07266302928328514,0.9938888888888889,0.9602143055634115,0.694647758462946,0.2808693170927133,0.9060509554140127,0.0,0.0,0.0,0.2222222222222222,
2304,0.8527206838130951,0.7124,0.05406394302845001,0.996,0.6888490243826789,0.7867473932055163,0.3406613140331257,0.8898721730580138,0.0,0.0,0.0,0.0,
2305,0.8773531526327133,0.7057,0.058719424344599244,0.9977777777777778,0.8618663597697955,0.7181854676836612,0.18813527557584975,0.95,0.0,0.0,0.0,0.1111111111111111,
2306,0.9038362115621567,0.703,0.09298396706581116,0.9972222222222222,0.7982073486688974,0.7474594594594595,,,,,,,0.1
2307,0.9950052797794342,0.6784,0.1832309164106846,0.9945555555555555,1.047686566117977,0.6496524329692155,,,,,,,0.2
2308,1.0011777698993682,0.6801,0.0941681381314993,0.9995555555555555,0.7839516299210907,0.7444113263785395,0.22941185135236927,0.9383802816901409,0.0,0.0,0.0,0.1111111111111111,
2309,0.9952527940273285,0.6817,0.05559279378503561,0.9998888888888889,0.7666586374027141,0.75,0.23077880154395924,0.9364224137931034,0.3333333333333333,0.5,0.4,0.25,
2310,0.9987849801778793,0.6818,0.05635545291006565,0.9998888888888889,0.7189828855717812,0.782058492688414,,,,,,,0.1
2311,1.002754545211792,0.6803,0.042017911188304426,0.9995555555555555,0.6353278935102433,0.7973722627737226,0.2584040588639907,0.9271402550091075,0.0,0.0,0.0,0.2222222222222222,
2312,1.019244086742401,0.6775,0.018894850648939608,1.0,0.9950333878795135,0.6809974204643164,0.27392460388599793,0.9075144508670521,0.0,0.0,0.0,0.5,
2313,1.0410893946886062,0.6738,0.01673537720926106,1.0,0.8748161803626149,0.7089552238805971,0.5199621460124257,0.8241590214067278,0.0,0.0,0.0,0.2222222222222222,
2314,1.073760312795639,0.6638,0.024161141831427813,1.0,0.8970834577468174,0.7053664648152015,0.2920696012153747,0.910828025477707,0.0,0.0,0.0,0.3333333333333333,
2315,1.052023646235466,0.6746,0.020215571764856576,1.0,0.8274904972303918,0.7337454212454212,0.1445541587140825,0.9694444444444444,0.0,0.0,0.0,0.1111111111111111,
2316,1.0494440913200378,0.6722,0.013694122340530157,1.0,0.8573840079893554,0.7167258207630879,0.16631463120381038,0.95,0.0,0.0,0.0,0.2222222222222222,
2317,1.045530343055725,0.677,0.008736278116703033,1.0,0.8776732688096941,0.7020413556796521,0.2694794306994746,0.9246031746031746,0.0,0.0,0.0,0.1111111111111111,
2318,1.0605955958366393,0.6763,0.009221423044800758,1.0,0.977701511781934,0.6646834840552118,0.2074183026316819,0.9410828025477707,0.0,0.0,0.0,0.0,
2319,1.071821427345276,0.6727,0.01507447580806911,1.0,0.7174118924352009,0.7757166947723441,0.27561464711854405,0.9170454545454545,0.0,0.0,0.0,0.0,
2320,1.0624135732650757,0.6776,0.0058131415862590075,1.0,0.7677322464385148,0.7525510204081632,0.170962750790565,0.9498644986449865,0.0,0.0,0.0,0.2222222222222222,
2321,1.0740784704685211,0.6716,0.00865115663036704,1.0,0.7409061187418023,0.7661085743277524,0.19819612417440752,0.94579945799458,0.0,0.0,0.0,0.3333333333333333,
2322,1.0738425612449647,0.6766,0.005577859841287136,1.0,0.6722461513013488,0.7747927031509121,0.3284256049142829,0.8814655172413793,0.0,0.0,0.0,0.25,
2323,1.0565022736787797,0.6817,0.005329083977267146,1.0,0.6310558375138231,0.8020414475719146,0.16651495588504203,0.9525745257452575,0.0,0.0,0.0,0.0,
2324,1.0433272123336792,0.6833,0.004050283797550946,1.0,0.4410842881817449,0.8627066405155506,0.22311643899326594,0.9330985915492958,0.0,0.0,0.0,0.2222222222222222,
2325,1.0599449783563615,0.6756,0.004585484904237091,1.0,0.8213603137057973,0.7471600800835655,,,,,,,0.0
