round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2301,0.8084988325834275,0.7352,5.32977659702301,0.033555555555555554,0.6556202360659749,0.7952095808383234,,,,,,,0.3
2302,0.8111074596643448,0.7234,4.080189001560211,0.04533333333333334,0.8816260660938356,0.7049968638929542,0.4171312081981713,0.8644366197183099,0.3333333333333333,1.0,0.5,0.2222222222222222,
2303,0.8591973811388016,0.7093,3.416119909286499,0.05555555555555555,0.9395452656485788,0.696248856358646,0.3899262623422465,0.8821656050955414,0.0,0.0,0.0,0.1111111111111111,
2304,0.8704027265310288,0.7089,3.252611827850342,0.06566666666666666,0.7197039864238087,0.7679112008072654,0.5159639474389124,0.8348082595870207,1.0,0.5,0.6666666666666666,0.0,
2305,0.9020416766405106,0.7032,3.121019434928894,0.05533333333333333,0.9341358595921398,0.700120433560819,0.4027089238166809,0.8805555555555555,0.5,1.0,0.6666666666666666,0.1111111111111111,
2306,0.9475305259227753,0.6934,3.091410148143768,0.03766666666666667,0.7617813822095458,0.7593513513513513,,,,,,,0.1
2307,0.9990496665239335,0.6802,2.9877380251884462,0.03222222222222222,0.9723681077779138,0.6740814299900695,,,,,,,0.2
2308,1.0123920500278474,0.6797,2.8898303151130675,0.038,0.7768995845371138,0.7498758072528564,0.38082526980991094,0.8855633802816901,0.3333333333333333,1.0,0.5,0.2222222222222222,
2309,1.0015863120555877,0.6828,2.915653121471405,0.03888888888888889,0.7668508107679478,0.7471014492753624,0.36579987946255454,0.8879310344827587,0.6666666666666666,1.0,0.8,0.125,
2310,0.9995477229356766,0.6851,2.9298946499824523,0.03988888888888889,0.7119794472197177,0.7786839145106862,,,,,,,0.3
2311,0.9905749410390854,0.6852,2.9396393299102783,0.044,0.5082768710071806,0.844963503649635,0.4297786905465882,0.8706739526411658,0.3333333333333333,1.0,0.5,0.2222222222222222,
2312,1.0134964376688003,0.6829,2.677881669998169,0.06888888888888889,0.8643874728122732,0.7225566064775008,0.370224439856634,0.8923410404624278,0.0,0.0,0.0,0.375,
2313,1.0381308853626252,0.6769,2.6016722917556763,0.07244444444444445,0.7583374364613241,0.7552753474009264,0.43008346140202397,0.8593272171253823,0.0,0.0,0.0,0.2222222222222222,
2314,1.0859130084514619,0.659,2.591792619228363,0.05555555555555555,0.9081583302160797,0.70641052411777,0.3716520653788451,0.89171974522293,0.0,0.0,0.0,0.2222222222222222,
2315,1.066264706850052,0.6719,2.6042044043540953,0.056666666666666664,0.8092343394436461,0.7362637362637363,0.40147494739956324,0.8722222222222222,1.0,1.0,1.0,0.0,
2316,1.1052249491214752,0.6644,2.4717285990715028,0.07455555555555556,0.9450721365086463,0.6923247559893523,0.3808517204390632,0.8805555555555555,0.0,0.0,0.0,0.2222222222222222,
2317,1.124839287996292,0.6663,2.399412965774536,0.08433333333333333,0.9628258914387517,0.6736537506376353,0.3375660797590932,0.8875661375661376,0.5,1.0,0.6666666666666666,0.1111111111111111,
2318,1.1227548122406006,0.6674,2.4363634824752807,0.07211111111111111,0.9121267517540127,0.7008567348881485,0.32098019293918734,0.9044585987261147,0.0,0.0,0.0,0.0,
2319,1.145237147808075,0.6616,2.3351980447769165,0.0961111111111111,0.7448891352081044,0.7608206857785272,0.3630298504097895,0.8823863636363637,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,
2320,1.1459983110427856,0.6594,2.3363478541374207,0.09755555555555556,0.9117333256606711,0.7091836734693877,0.250115856003309,0.9227642276422764,0.0,0.0,0.0,0.2222222222222222,
2321,1.1580591917037963,0.6499,2.339638328552246,0.08755555555555555,0.7598997449085593,0.7546930492135971,0.23263443437049058,0.924119241192412,0.0,0.0,0.0,0.3333333333333333,
2322,1.1601382911205291,0.6516,2.294831085205078,0.09455555555555556,0.6735140505578882,0.7688225538971808,0.3304638947392332,0.9001436781609196,0.0,0.0,0.0,0.25,
2323,1.1486870229244233,0.648,2.355650341510773,0.08355555555555555,0.7773429042888138,0.7534797401793999,0.22954428381713102,0.924119241192412,0.0,0.0,0.0,0.1111111111111111,
2324,1.1368538796901704,0.6522,2.393323767185211,0.07733333333333334,0.527794463380975,0.8352479686186607,0.26434860808748595,0.9102112676056338,0.5,1.0,0.6666666666666666,0.1111111111111111,
2325,1.1457618594169616,0.6527,2.3945690155029298,0.07655555555555556,0.7611628276971969,0.756914461467038,,,,,,,0.2
2326,1.1304678440093994,0.6543,2.4593698620796203,0.06633333333333333,0.8420082477274788,0.7275663206459054,0.26489870523521475,0.9312227074235808,0.5,0.5,0.5,0.125,
2327,1.1465046882629395,0.6527,2.4817075610160826,0.05688888888888889,0.8490300267830413,0.7166105047535651,,,,,,,0.1
2328,1.1631248831748962,0.647,2.4996779799461364,0.052,0.9009908773700926,0.70110560426992,,,,,,,0.3
2329,1.1433886468410492,0.6492,2.5005452990531922,0.05622222222222222,0.7217570795649972,0.774927503903636,,,,,,,0.1
2330,1.1320282518863678,0.6544,2.518850266933441,0.057888888888888886,0.747996071138408,0.7555228276877761,,,,,,,0.2
2331,1.1229233980178832,0.6528,2.6299218773841857,0.042333333333333334,0.6560555310614253,0.7914927449811171,,,,,,,0.2
2332,1.1314199209213256,0.6478,2.6339717268943788,0.03888888888888889,0.8904606752649177,0.7068155111633373,0.27700162563525454,0.9137323943661971,0.5,1.0,0.6666666666666666,0.1111111111111111,
2333,1.119212418794632,0.6534,2.6279638171195985,0.043222222222222224,0.7563292391769721,0.7557544757033248,,,,,,,0.1
2334,1.1095248639583588,0.6574,2.655871641635895,0.03844444444444445,0.6895396490524287,0.7705981263511891,0.2134479073085759,0.9363143631436315,0.0,0.0,0.0,0.1111111111111111,
2335,1.1151927590370179,0.658,2.600879693031311,0.043222222222222224,0.8123728946573106,0.746068358146362,0.3328453613977832,0.8870673952641166,0.0,0.0,0.0,0.2222222222222222,
2336,1.1678016662597657,0.6458,2.3717205286026,0.07133333333333333,0.9380671042200416,0.6982265018349112,0.2915022337676571,0.9140866873065016,0.0,0.0,0.0,0.375,
2337,1.17394899725914,0.6428,2.4014368057250977,0.06088888888888889,0.811714298208403,0.7301618249171379,0.2793675450382719,0.9187898089171974,0.0,0.0,0.0,0.1111111111111111,
2338,1.164771604537964,0.6489,2.369344687461853,0.06911111111111111,0.8532015605998121,0.7237770193401593,0.23117427669243437,0.9322493224932249,0.0,0.0,0.0,0.3333333333333333,
2339,1.1494151592254638,0.6529,2.3620835661888124,0.078,0.6797951046669025,0.779064381658175,0.29996159787677207,0.90633608815427,0.0,0.0,0.0,0.2222222222222222,
2340,1.145008772611618,0.6533,2.418080818653107,0.06788888888888889,0.884719035112521,0.7107291294243833,,,,,,,0.4
2341,1.1596963107585907,0.6478,2.5000855684280396,0.04722222222222222,0.8346692343705446,0.7287907869481766,0.23938287697671876,0.9159891598915989,0.0,0.0,0.0,0.3333333333333333,
2342,1.1428669810295105,0.6484,2.584541893005371,0.04033333333333333,0.7137521203533421,0.7650853452252806,0.36315476364559596,0.8833333333333333,0.3333333333333333,1.0,0.5,0.2222222222222222,
2343,1.148973858356476,0.6427,2.5769232749938964,0.044444444444444446,0.7305049791660836,0.7700355722954593,,,,,,,0.1
2344,1.1364050686359406,0.6516,2.4462682247161864,0.07444444444444444,0.743467949404496,0.7567495322106389,0.3600209277565196,0.8847457627118644,0.0,0.0,0.0,0.0,
2345,1.131473284959793,0.6539,2.4848111510276794,0.06144444444444445,0.7806955562520017,0.75,,,,,,,0.1
2346,1.1398327887058257,0.6498,2.536803102493286,0.059,0.8177726199627807,0.7243875278396437,0.255116515689426,0.9409722222222222,0.25,1.0,0.4,0.3333333333333333,
2347,1.120353138446808,0.6552,2.540277063846588,0.059666666666666666,0.6118272477349077,0.798099301784329,,,,,,,0.0
2348,1.1100107848644256,0.6566,2.548473262786865,0.06233333333333333,0.6754495921934068,0.7866022099447514,0.3179347025789834,0.8953168044077136,0.3333333333333333,1.0,0.5,0.2222222222222222,
2349,1.1043006896972656,0.6612,2.561846101284027,0.06188888888888889,0.75093246405472,0.7579225352112676,,,,,,,0.2
2350,1.0842871069908142,0.6665,2.59869704246521,0.059333333333333335,0.6749219096182657,0.7749413145539906,0.28391230379191923,0.8908450704225352,0.5,1.0,0.6666666666666666,0.1111111111111111,
2351,1.0925337374210358,0.6599,2.6445510387420654,0.048,0.8073259707723549,0.7335566919414566,,,,,,,0.2
2352,1.0968992590904236,0.6541,2.713408374786377,0.04,0.8172392454780325,0.7297081167532987,0.2685962948534224,0.9236111111111112,0.5,1.0,0.6666666666666666,0.1111111111111111,
2353,1.085783463716507,0.6598,2.681921291351318,0.04711111111111111,0.8774398880850826,0.7154865002547122,0.3801214432704648,0.880039331366765,0.5,0.5,0.5,0.125,
2354,1.064873418211937,0.6649,2.6828285694122314,0.05011111111111111,0.38885381332988306,0.8781906300484653,0.40506933351540053,0.8807339449541285,0.0,0.0,0.0,0.0,
2355,1.0535529136657715,0.6659,2.660101759433746,0.058444444444444445,0.46413584098265226,0.851546649361499,0.3069144592706458,0.8989290495314591,0.0,0.0,0.0,0.125,
2356,1.0577696114778519,0.6647,2.670289623737335,0.05644444444444444,0.6175155910402826,0.7981829980532122,,,,,,,0.1
2357,1.0717832744121552,0.6595,2.699782943725586,0.04788888888888889,0.7948406534761016,0.7419584147858539,0.2972022556954888,0.9203821656050956,0.0,0.0,0.0,0.0,
2358,1.0905360102653503,0.6567,2.559167468547821,0.063,0.9042678001889871,0.7014209895565828,0.30053028388387837,0.9156050955414012,0.0,0.0,0.0,0.2222222222222222,
2359,1.0799270510673522,0.6575,2.576982116699219,0.06444444444444444,0.6090620107563168,0.8102558918669132,,,,,,,0.4
2360,1.0967785596847535,0.6538,2.48037109375,0.07655555555555556,0.7085879058147622,0.764513696908771,0.3472066794129152,0.8903413217138707,0.5,0.3333333333333333,0.4,0.14285714285714285,
2361,1.080472457408905,0.6595,2.5093527913093565,0.07511111111111111,0.47633932380570004,0.8511033202722211,,,,,,,0.2
2362,1.0778601706027984,0.6586,2.575513172149658,0.06688888888888889,0.6418068970701903,0.7939044787214272,,,,,,,0.2
2363,1.0539057403802872,0.6657,2.681917357444763,0.05544444444444444,0.677666609286784,0.782878909382518,,,,,,,0.4
2364,1.0559761255979538,0.6646,2.6780314445495605,0.05611111111111111,0.5402971432168281,0.8108720271800679,0.28102730380164254,0.9270833333333334,0.0,0.0,0.0,0.1111111111111111,
2365,1.0358897626399994,0.6684,2.6758470058441164,0.06433333333333334,0.35204467087163904,0.8890784078054299,,,,,,,0.4
2366,1.0194081783294677,0.6722,2.6389529705047607,0.07388888888888889,0.5700605419024325,0.8262859633827376,0.37606909643254877,0.8669724770642202,0.0,0.0,0.0,0.2222222222222222,
2367,1.024108201265335,0.6696,2.6426373720169067,0.07222222222222222,0.6572691945919713,0.7866235167206042,0.333225788394357,0.8964968152866242,0.0,0.0,0.0,0.4444444444444444,
2368,1.0216092705726623,0.676,2.5931516289711,0.0791111111111111,0.7280702710516785,0.7560708816451542,,,,,,,0.2
2369,1.00767040848732,0.6785,2.581527602672577,0.08644444444444445,0.40037634229282854,0.8701082431307244,0.3122427302181341,0.9076433121019108,0.0,0.0,0.0,0.1111111111111111,
2370,1.0288639694452286,0.6693,2.432556962966919,0.11133333333333334,0.8778384479265364,0.7104482818768533,0.30074266711590997,0.9084507042253521,0.0,0.0,0.0,0.2222222222222222,
2371,1.0160738706588746,0.6727,2.53405966758728,0.09011111111111111,0.6399307548541745,0.7865350338943432,,,,,,,0.4
2372,1.0365700125694275,0.6674,2.495484936237335,0.089,0.8215733118453324,0.7292770466586909,,,,,,,0.2
2373,1.051477324962616,0.6622,2.470697271823883,0.08755555555555555,0.7964341288146797,0.7343558282208589,0.3216903138086316,0.8939157566302652,0.0,0.0,0.0,0.375,
2374,1.0463671863079071,0.6642,2.494961714744568,0.084,0.5668555729412494,0.8063169556574079,,,,,,,0.2
2375,1.0504997998476029,0.6594,2.404683196544647,0.10222222222222223,0.5681521784715089,0.8077703682226732,0.2980556366373197,0.9086839749328559,0.0,0.0,0.0,0.25,
2376,1.036047449707985,0.6641,2.3959272861480714,0.10822222222222222,0.4923831527317135,0.8437424058323207,0.26774813775803635,0.9156050955414012,0.0,0.0,0.0,0.1111111111111111,
2377,1.026512196660042,0.6656,2.3482150554656984,0.12411111111111112,0.6174719342488988,0.8076923076923077,0.2457078803941159,0.9280936454849499,0.0,0.0,0.0,0.125,
2378,1.0153156608343124,0.6707,2.361624073982239,0.12633333333333333,0.48058884073356267,0.8468820745009261,,,,,,,0.2
2379,1.0326184421777724,0.6626,2.4189751625061033,0.104,0.9172740436738895,0.6918281381634372,,,,,,,0.2
2380,1.042250081896782,0.6615,2.392581045627594,0.10877777777777778,0.6823732316169678,0.7788905896239439,,,,,,,0.0
2381,1.0350470125675202,0.6619,2.4187519431114195,0.11077777777777778,0.5611001806751265,0.8168306468494871,0.4276186590530092,0.8700305810397554,0.0,0.0,0.0,0.1111111111111111,
2382,1.0186276882886887,0.6683,2.421775019168854,0.11233333333333333,0.6609923583670849,0.7814870325375026,0.28311375908286773,0.90633608815427,0.0,0.0,0.0,0.0,
2383,1.0096295922994614,0.6722,2.4074853897094726,0.11988888888888889,0.5687626988743738,0.82011393514461,0.21486801734775496,0.945859872611465,0.0,0.0,0.0,0.0,
2384,1.0014725983142854,0.6743,2.3427084565162657,0.14544444444444443,0.3262284422029774,0.8986204683991017,0.23658070067635908,0.9311334289813487,0.0,0.0,0.0,0.14285714285714285,
2385,1.0038026839494705,0.671,2.313719391822815,0.15733333333333333,0.775240211489142,0.7459078797106966,0.2729804108680134,0.9190140845070423,0.0,0.0,0.0,0.3333333333333333,
