round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2301,0.8114929109811783,0.7338,3.3149077892303467,0.30612244897959184,0.6604507505679559,0.7925748502994012,,,,,,,0.4
2302,0.800003507733345,0.733,2.7025411128997803,0.35714285714285715,0.7832676988299886,0.7413757056240853,0.367946616360839,0.8609154929577465,0.0,0.0,0.0,0.4444444444444444,
2303,0.7860914677381515,0.7352,2.2867984771728516,0.3979591836734694,0.7368781202202638,0.7598353156450137,0.3610702043126343,0.8869426751592356,0.0,0.0,0.0,0.4444444444444444,
2304,0.7963945925235748,0.7319,2.2223403453826904,0.3877551020408163,0.5460898541127076,0.8227379751093172,0.5760513461444934,0.8082595870206489,0.25,0.5,0.3333333333333333,0.375,
2305,0.7940954148769379,0.7308,2.2087020874023438,0.413265306122449,0.7803958426725041,0.7436772380570053,0.430748850107193,0.8555555555555555,0.0,0.0,0.0,0.4444444444444444,
2306,0.7973741441965103,0.733,2.3264782428741455,0.3673469387755102,0.7329757441227903,0.7545945945945945,,,,,,,0.4
2307,0.8102258890867233,0.7227,2.2526373863220215,0.3877551020408163,0.9735608169056157,0.6756703078450844,,,,,,,0.4
2308,0.8119043409824371,0.7257,2.149259567260742,0.3979591836734694,0.7236869137935892,0.760307998012916,0.3395805390368045,0.8820422535211268,0.0,0.0,0.0,0.4444444444444444,
2309,0.8116236001253128,0.7229,1.9627496004104614,0.42857142857142855,0.6355990796039502,0.7851449275362319,0.3362751628818183,0.8879310344827587,0.0,0.0,0.0,0.375,
2310,0.8203092724084854,0.7162,1.9976224899291992,0.413265306122449,0.69419840134102,0.7879640044994376,,,,,,,0.4
2311,0.8198546916246414,0.7192,1.9566433429718018,0.4336734693877551,0.6029306701706709,0.80992700729927,0.3521050694101712,0.8834244080145719,0.0,0.0,0.0,0.4444444444444444,
2312,0.8304653763771057,0.7187,1.7558778524398804,0.4744897959183674,0.6680419315544232,0.7815993121238177,0.33105640259781327,0.8988439306358381,0.0,0.0,0.0,0.5,
2313,0.8475449502468109,0.7117,1.7530722618103027,0.45408163265306123,0.9338477213113994,0.6832218219248585,0.6827456138185041,0.7706422018348624,0.0,0.0,0.0,0.4444444444444444,
