round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2455,0.7988964736461639,0.7294,2.002589464187622,0.3826530612244898,0.4928878700257157,0.8467035912095766,0.1784431945850698,0.9559228650137741,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2456,0.7945014625787735,0.7306,1.9120687246322632,0.4030612244897959,0.45932192257963694,0.8508547008547008,0.23379401601901126,0.9340511440107672,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2457,0.800948241353035,0.7245,1.8835245370864868,0.42857142857142855,0.5226367750123716,0.8307322929171669,0.17909766537698402,0.9480122324159022,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2458,0.8156974285840988,0.7291,1.9918301105499268,0.37755102040816324,0.6383515538855614,0.7965529495380241,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2459,0.8116340279579163,0.728,1.9192017316818237,0.3877551020408163,0.5770298763003915,0.8091075421833706,0.1849772630191004,0.9474442044636429,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2460,0.8120972245931626,0.7271,2.001338243484497,0.3673469387755102,0.44540652791676555,0.8622437734185585,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2461,0.819334301352501,0.7231,2.032409906387329,0.35714285714285715,0.6278691327697317,0.7938454818787584,0.22750884060291093,0.9417344173441734,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2462,0.8212224751710892,0.7237,2.017252206802368,0.3622448979591837,0.4495686610613227,0.8518001674574379,0.1467956602301971,0.9571948998178507,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2463,0.8098829835653305,0.7297,2.026339530944824,0.37244897959183676,0.12695350322103555,0.9657924743443558,0.1527667458556572,0.9586776859504132,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2464,0.8061816185712815,0.7263,1.9847794771194458,0.3826530612244898,0.2024841707684371,0.9404786680541103,0.15877652336880338,0.9648318042813455,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2465,0.7981653660535812,0.7296,1.9774270057678223,0.3826530612244898,0.3166464133392631,0.9031286210892236,0.19428884066531027,0.9515477792732167,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2466,0.8029922276735306,0.7252,1.9433574676513672,0.3877551020408163,0.6391160063565253,0.7953740854378097,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2467,0.8012613445520401,0.7328,1.9404044151306152,0.3979591836734694,0.5625512922262185,0.8131793179317932,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2468,0.8047709494829178,0.7278,1.9532877206802368,0.40816326530612246,0.5633894931155115,0.8199700262270513,0.15705310538383999,0.9489981785063752,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2469,0.8059792369604111,0.7245,1.9863852262496948,0.39285714285714285,0.5547958958735627,0.8220561502726722,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2470,0.7936170309782028,0.7322,2.0045125484466553,0.4030612244897959,0.3099299967642145,0.9035532994923858,0.19737036621898685,0.9388379204892966,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2471,0.7886405736207962,0.7334,1.970223307609558,0.4030612244897959,0.2410808296309531,0.9278745644599303,0.2351236945358366,0.9394213381555153,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2472,0.8058994114398956,0.7315,1.9542628526687622,0.4030612244897959,0.5740573880144509,0.8110872793268438,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2473,0.8055209517478943,0.7285,1.9918253421783447,0.39285714285714285,0.5319753170274742,0.8268617021276595,0.2157632536466873,0.9344262295081968,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2474,0.8099563211202622,0.7302,2.023850202560425,0.3826530612244898,0.28952568412286644,0.912110257568911,,,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
2475,0.8008540123701096,0.7335,1.9668371677398682,0.3877551020408163,0.23068015544054893,0.9279251170046802,0.15180861636857604,0.9563350035790981,0.4,0.2,0.26666666666666666,0.03333333333333333,,0.89
