round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2301,0.811492720246315,0.7338,5.624139976501465,0.03922222222222222,0.6604507505679559,0.7925748502994012,,,,,,,0.4
2302,0.7937630623579025,0.7327,2.233373522758484,0.41244444444444445,0.7911481208633534,0.7399121890027179,0.3587169193885696,0.8838028169014085,0.0,0.0,0.0,0.4444444444444444,
2303,0.8023784428834915,0.7293,1.9550783514976502,0.4292222222222222,0.8541573005483877,0.7275846294602013,0.23884483925096547,0.9187898089171974,0.0,0.0,0.0,0.3333333333333333,
2304,0.8073917210102082,0.7242,1.4381696283817291,0.544,0.6312376619828818,0.7954927682475614,0.3350604165385724,0.8918387413962635,0.0,0.0,0.0,0.5,
2305,0.8053954511880874,0.7244,1.4002314388751984,0.5498888888888889,0.8672856741320508,0.7155760738659173,0.30139553414450754,0.9277777777777778,0.0,0.0,0.0,0.4444444444444444,
2306,0.8195934921503067,0.7238,1.6175463616847991,0.4786666666666667,0.7535497820574689,0.7487567567567568,,,,,,,0.4
2307,0.8360118746757508,0.7137,1.6043909192085266,0.4872222222222222,1.074454053619353,0.6409136047666336,,,,,,,0.4
2308,0.8445280611515045,0.7091,1.4777804791927338,0.5158888888888888,0.7506898525959808,0.7543467461500248,0.2247050593436604,0.9348591549295775,0.0,0.0,0.0,0.4444444444444444,
2309,0.8518027484416961,0.7093,1.3581730484962464,0.5537777777777778,0.5880600459657718,0.797463768115942,0.2214590634765296,0.9299568965517241,0.0,0.0,0.0,0.5,
2310,0.8479999959468841,0.7082,1.3854569733142852,0.5385555555555556,0.6494312503273495,0.7989313835770528,,,,,,,0.4
2311,0.8529868483543396,0.7069,1.2136025369167327,0.6022222222222222,0.7045135630770539,0.7792700729927007,0.25287553995087714,0.9326047358834244,0.0,0.0,0.0,0.4444444444444444,
2312,0.8487311571836471,0.7115,0.9607253938913345,0.6836666666666666,0.8482231840461398,0.7242762969332187,0.25964636196290825,0.9241329479768786,0.0,0.0,0.0,0.5,
2313,0.846545496582985,0.7144,1.0439048558473587,0.6557777777777778,0.9693864584736032,0.6757591353576943,0.3613648015424746,0.8746177370030581,0.0,0.0,0.0,0.4444444444444444,
2314,0.8942627608776093,0.6969,1.1482031106948853,0.6232222222222222,0.9323566236919639,0.7001461683023595,0.27942436648781893,0.9076433121019108,0.0,0.0,0.0,0.4444444444444444,
2315,0.889727258682251,0.704,1.162097316980362,0.6161111111111112,0.8592605659458445,0.7225274725274725,0.1836943593290117,0.9416666666666667,0.0,0.0,0.0,0.4444444444444444,
2316,0.9065432280302048,0.691,1.266891461610794,0.5862222222222222,0.9966614639193163,0.6692546583850931,0.20282722645335727,0.9583333333333334,0.0,0.0,0.0,0.4444444444444444,
2317,0.8985361784696579,0.7025,1.1955175161361695,0.6111111111111112,0.9213002129719907,0.6943254658093269,0.2744509691283816,0.9193121693121693,0.0,0.0,0.0,0.4444444444444444,
2318,0.8939181834459304,0.6957,1.1808121025562286,0.6171111111111112,0.883660871902572,0.6958591147072822,0.28978967381890414,0.9092356687898089,0.0,0.0,0.0,0.4444444444444444,
2319,0.898364034295082,0.6989,1.0199793189764024,0.675,0.8213958470438758,0.730185497470489,0.2742237657308578,0.9119318181818182,0.0,0.0,0.0,0.5714285714285714,
2320,0.9050141155719758,0.6998,1.0470292210578918,0.6682222222222223,0.834052557308842,0.724721706864564,0.22923743983271322,0.9336043360433605,0.0,0.0,0.0,0.4444444444444444,
2321,0.9051428854465484,0.6962,1.016329151391983,0.6824444444444444,0.7446198933079786,0.7526636225266362,0.20318245447586544,0.9390243902439024,0.0,0.0,0.0,0.4444444444444444,
2322,0.9004580169916153,0.6984,0.950387704372406,0.7038888888888889,0.8154575405355117,0.7260364842454394,0.2549169540362454,0.9152298850574713,0.0,0.0,0.0,0.5,
2323,0.8974695831537247,0.6976,0.9417315989732742,0.7104444444444444,0.6198800558502594,0.803587998762759,0.19881817872123667,0.9336043360433605,0.0,0.0,0.0,0.4444444444444444,
2324,0.8916176527738571,0.6993,0.8841685056686401,0.728,0.6500920051284517,0.7993835808349677,0.18221547507064442,0.9454225352112676,0.0,0.0,0.0,0.4444444444444444,
2325,0.8805091381072998,0.704,1.0244431644678116,0.6728888888888889,0.8539465662993891,0.7276636490250696,,,,,,,0.4
2326,0.8897496044635773,0.702,1.0019914925098419,0.692,0.893678756348677,0.6991926182237601,0.2592646898661118,0.9290393013100436,0.0,0.0,0.0,0.5,
