round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
0,4.100601136684418,0.06861067888551706,,,3.977630724034625,0.16223715696756782,,
1,4.082376599311829,0.07459401837985609,,,3.684715528479697,0.19350894887151332,,
2,4.063719610373179,0.0779381549650542,,,3.605685567911802,0.20643064113849766,,
3,4.051393787066142,0.10992666970418576,,,3.8247098782646445,0.18836103178380667,,
4,4.040016949176788,0.16504904447099886,,,3.820816723540186,0.17630347593582887,,
5,4.029048383235931,0.18571563663248025,,,3.8411790122547727,0.20229696472518457,,
6,4.01111900806427,0.20127575801862058,,,3.729801969260066,0.1884252960947503,,
7,3.99521803855896,0.17891560568417253,,,3.7066449955410428,0.20586666666666667,,
8,3.986770381530126,0.17734240004126442,,,3.788919650086905,0.20590043023970497,,
9,3.9781799713770547,0.20709575922216586,,,3.7742774966845594,0.24577861163227016,,
